command,action
continue to proceed left,move_left
continue to travel left,move_left
continue to strike left,move_left
continue to act left,move_left
continue to move lead,move_left
continue to move leave,move_left
continue to move go out,move_left
continue to move allow,move_left
continue to move pass on,move_left
continue to move allow for,move_left
continue to move go away,move_left
continue to move get out,move_left
continue to move give,move_left
continue to move impart,move_left
continue to move result,move_left
lurch towards the left,move_left
change towards the left,move_left
budge towards the left,move_left
stir towards the left,move_left
transfer towards the left,move_left
pitch towards the left,move_left
shift towards the lead,move_left
shift towards the leave,move_left
shift towards the go out,move_left
shift towards the allow,move_left
shift towards the pass on,move_left
shift towards the allow for,move_left
shift towards the go away,move_left
shift towards the get out,move_left
shift towards the give,move_left
shift towards the impart,move_left
shift towards the result,move_left
motivate over to the left,move_left
go over to the left,move_left
prompt over to the left,move_left
impress over to the left,move_left
proceed over to the left,move_left
travel over to the left,move_left
strike over to the left,move_left
act over to the left,move_left
move over to the lead,move_left
move over to the leave,move_left
move over to the go out,move_left
move over to the allow,move_left
move over to the pass on,move_left
move over to the allow for,move_left
move over to the go away,move_left
move over to the get out,move_left
move over to the give,move_left
move over to the impart,move_left
move over to the result,move_left
lead towards the left side,move_left
campaign towards the left side,move_left
flow towards the left side,move_left
function towards the left side,move_left
tend towards the left side,move_left
race towards the left side,move_left
range towards the left side,move_left
prevail towards the left side,move_left
track down towards the left side,move_left
go towards the left side,move_left
persist towards the left side,move_left
hunt towards the left side,move_left
incline towards the left side,move_left
run away towards the left side,move_left
work towards the left side,move_left
melt towards the left side,move_left
extend towards the left side,move_left
operate towards the left side,move_left
pass towards the left side,move_left
lean towards the left side,move_left
run towards the lead side,move_left
run towards the leave side,move_left
run towards the go out side,move_left
run towards the allow side,move_left
run towards the pass on side,move_left
run towards the allow for side,move_left
run towards the go away side,move_left
run towards the get out side,move_left
run towards the give side,move_left
run towards the impart side,move_left
run towards the result side,move_left
pass away left if there's a path,move_left
lead left if there's a path,move_left
function left if there's a path,move_left
fit left if there's a path,move_left
survive left if there's a path,move_left
start left if there's a path,move_left
live left if there's a path,move_left
last left if there's a path,move_left
belong left if there's a path,move_left
move left if there's a path,move_left
endure left if there's a path,move_left
proceed left if there's a path,move_left
run left if there's a path,move_left
sound left if there's a path,move_left
get left if there's a path,move_left
depart left if there's a path,move_left
become left if there's a path,move_left
work left if there's a path,move_left
fail left if there's a path,move_left
extend left if there's a path,move_left
operate left if there's a path,move_left
die left if there's a path,move_left
pass left if there's a path,move_left
travel left if there's a path,move_left
go away left if there's a path,move_left
perish left if there's a path,move_left
go lead if there's a path,move_left
go leave if there's a path,move_left
go go out if there's a path,move_left
go allow if there's a path,move_left
go pass on if there's a path,move_left
go allow for if there's a path,move_left
go go away if there's a path,move_left
go get out if there's a path,move_left
go give if there's a path,move_left
go impart if there's a path,move_left
go result if there's a path,move_left
maneuver left until you reach the end,move_left
lead left until you reach the end,move_left
